Date,Open,High,Low,Close,Volume
2005-09-29 00:00:00+07:00,1118,1122,1114,1118,2080000
2005-09-30 00:00:00+07:00,1140,1147,1133,1140,5475000
2005-10-03 00:00:00+07:00,1158,1166,1125,1158,4525000
2005-10-04 00:00:00+07:00,1184,1188,1162,1184,7665000
2005-10-05 00:00:00+07:00,1177,1195,1177,1177,2270000
2005-10-06 00:00:00+07:00,1147,1177,1147,1147,360000
2005-10-07 00:00:00+07:00,1133,1151,1133,1133,1310000
2005-10-10 00:00:00+07:00,1136,1136,1133,1136,150000
2005-10-11 00:00:00+07:00,1133,1136,1133,1133,125000
2005-10-12 00:00:00+07:00,1173,1181,1133,1173,3305000
2005-10-13 00:00:00+07:00,1155,1162,1155,1155,265000
2005-10-14 00:00:00+07:00,1136,1147,1133,1136,1105000
2005-10-18 00:00:00+07:00,1122,1122,1107,1122,395000
2005-10-19 00:00:00+07:00,1111,1122,1107,1111,635000
2005-10-21 00:00:00+07:00,1100,1103,1096,1100,2455000
2005-10-24 00:00:00+07:00,1092,1092,1092,1092,20000
2005-10-26 00:00:00+07:00,1103,1111,1103,1103,780000
2005-10-27 00:00:00+07:00,1089,1096,1089,1089,485000
2005-10-28 00:00:00+07:00,1089,1107,1081,1089,1380000
2005-10-31 00:00:00+07:00,1063,1081,1063,1063,1990000
2005-11-01 00:00:00+07:00,1066,1074,1063,1066,5955000
2005-11-10 00:00:00+07:00,945,1000,945,945,14170000
2005-11-11 00:00:00+07:00,864,945,857,864,21275000
2005-11-14 00:00:00+07:00,868,886,846,868,17420000
2005-11-15 00:00:00+07:00,831,868,831,831,15080000
2005-11-16 00:00:00+07:00,846,860,838,846,14900000
2005-11-17 00:00:00+07:00,871,875,849,871,19380000
2005-11-18 00:00:00+07:00,912,912,875,912,25855000
2005-11-21 00:00:00+07:00,956,960,919,956,15540000
2005-11-22 00:00:00+07:00,989,997,971,989,15785000
2005-11-23 00:00:00+07:00,945,989,945,945,4280000
2005-11-24 00:00:00+07:00,956,971,941,956,1170000
2005-11-25 00:00:00+07:00,941,960,934,941,3645000
2005-11-28 00:00:00+07:00,938,949,938,938,1510000
2005-11-29 00:00:00+07:00,945,952,941,945,180000
2005-11-30 00:00:00+07:00,941,960,938,941,3150000
2005-12-01 00:00:00+07:00,941,971,941,941,4300000
2005-12-02 00:00:00+07:00,956,956,949,956,4030000
2005-12-05 00:00:00+07:00,945,956,941,945,920000
2005-12-06 00:00:00+07:00,956,956,949,956,3960000
2005-12-07 00:00:00+07:00,963,967,956,963,2105000
2005-12-08 00:00:00+07:00,956,975,956,956,3530000
2005-12-09 00:00:00+07:00,997,1000,963,997,8925000
2005-12-12 00:00:00+07:00,1022,1037,1008,1022,9095000
2005-12-13 00:00:00+07:00,1011,1030,1008,1011,1510000
2005-12-14 00:00:00+07:00,975,1011,971,975,7000000
2005-12-15 00:00:00+07:00,952,975,945,952,4095000
2005-12-16 00:00:00+07:00,941,952,941,941,475000
2005-12-19 00:00:00+07:00,960,975,941,960,1875000
2005-12-20 00:00:00+07:00,952,967,952,952,5625000
2005-12-21 00:00:00+07:00,952,960,941,952,4090000
2005-12-22 00:00:00+07:00,952,952,938,941,4465000
2005-12-23 00:00:00+07:00,941,952,941,941,2665000
2005-12-27 00:00:00+07:00,967,971,945,967,2915000
2005-12-28 00:00:00+07:00,967,967,967,967,490000
2005-12-29 00:00:00+07:00,927,967,927,967,1280000
2006-01-02 00:00:00+07:00,967,967,956,956,50000
2006-01-03 00:00:00+07:00,975,978,956,975,4080000
2006-01-04 00:00:00+07:00,1008,1019,982,1008,7930000
2006-01-05 00:00:00+07:00,1019,1037,1011,1019,17700000
2006-01-06 00:00:00+07:00,1030,1033,1030,1030,8025000
2006-01-09 00:00:00+07:00,1037,1052,1033,1033,3230000
2006-01-11 00:00:00+07:00,1052,1063,1041,1048,9710000
2006-01-12 00:00:00+07:00,1052,1070,1048,1063,8545000
2006-01-13 00:00:00+07:00,1074,1081,1052,1067,3325000
2006-01-16 00:00:00+07:00,1052,1067,1048,1052,1880000
2006-01-17 00:00:00+07:00,1008,1048,975,1008,4175000
2006-01-18 00:00:00+07:00,986,1022,956,1008,1985000
2006-01-19 00:00:00+07:00,1033,1037,1011,1033,2640000
2006-01-20 00:00:00+07:00,1052,1055,1044,1052,5450000
2006-01-23 00:00:00+07:00,1048,1048,1026,1030,3085000
2006-01-24 00:00:00+07:00,1030,1041,1030,1041,1230000
2006-01-25 00:00:00+07:00,1048,1070,1048,1063,5435000
2006-01-26 00:00:00+07:00,1074,1078,1059,1074,4230000
2006-01-27 00:00:00+07:00,1067,1070,1059,1067,740000
2006-01-30 00:00:00+07:00,1070,1078,1059,1070,765000
2006-02-01 00:00:00+07:00,1059,1074,1059,1059,2525000
2006-02-02 00:00:00+07:00,1078,1081,1067,1078,9765000
2006-02-03 00:00:00+07:00,1081,1085,1074,1074,2775000
2006-02-06 00:00:00+07:00,1044,1070,1044,1044,960000
2006-02-07 00:00:00+07:00,1067,1067,1048,1059,4530000
2006-02-08 00:00:00+07:00,1067,1074,1052,1055,3845000
2006-02-09 00:00:00+07:00,1037,1052,1037,1037,2030000
2006-02-10 00:00:00+07:00,1033,1067,1033,1033,6370000
2006-02-13 00:00:00+07:00,1030,1067,1030,1063,13240000
2006-02-14 00:00:00+07:00,1052,1063,1044,1052,1185000
2006-02-15 00:00:00+07:00,1052,1092,1052,1074,14065000
2006-02-16 00:00:00+07:00,1074,1074,1055,1055,3275000
2006-02-17 00:00:00+07:00,1074,1078,1067,1074,1820000
2006-02-20 00:00:00+07:00,1081,1092,1078,1081,7765000
2006-02-21 00:00:00+07:00,1067,1085,1067,1067,1075000
2006-02-22 00:00:00+07:00,1081,1085,1063,1081,1180000
2006-02-23 00:00:00+07:00,1122,1125,1081,1122,11385000
2006-02-24 00:00:00+07:00,1122,1181,1122,1173,15535000
2006-02-27 00:00:00+07:00,1170,1192,1170,1170,4365000
2006-02-28 00:00:00+07:00,1177,1177,1147,1147,1015000
2006-03-01 00:00:00+07:00,1155,1155,1103,1155,1085000
2006-03-02 00:00:00+07:00,1170,1214,1155,1214,7270000
2006-03-03 00:00:00+07:00,1214,1313,1214,1309,18495000
2006-03-06 00:00:00+07:00,1155,1155,1103,1155,1085000
2006-03-07 00:00:00+07:00,1313,1376,1313,1361,24465000
2006-03-08 00:00:00+07:00,1324,1361,1302,1324,3780000
2006-03-09 00:00:00+07:00,1287,1346,1287,1287,4835000
2006-03-10 00:00:00+07:00,1276,1298,1273,1276,1435000
2006-03-13 00:00:00+07:00,1298,1309,1287,1298,4860000
2006-03-14 00:00:00+07:00,1298,1342,1298,1339,4015000
2006-03-15 00:00:00+07:00,1339,1361,1309,1309,2150000
2006-03-16 00:00:00+07:00,1353,1361,1350,1353,3940000
2006-03-17 00:00:00+07:00,1346,1353,1331,1346,4420000
2006-03-20 00:00:00+07:00,1339,1346,1339,1339,3865000
2006-03-21 00:00:00+07:00,1339,1346,1331,1331,3895000
2006-03-22 00:00:00+07:00,1309,1331,1302,1309,2960000
2006-03-23 00:00:00+07:00,1309,1324,1284,1302,3295000
2006-03-24 00:00:00+07:00,1331,1331,1306,1331,4360000
2006-03-27 00:00:00+07:00,1342,1353,1331,1342,6020000
2006-03-28 00:00:00+07:00,1331,1353,1331,1331,4175000
2006-03-29 00:00:00+07:00,1262,1346,1243,1262,15305000
2006-04-03 00:00:00+07:00,1276,1295,1269,1276,2675000
2006-04-04 00:00:00+07:00,1295,1306,1284,1295,8145000
2006-04-05 00:00:00+07:00,1295,1298,1287,1295,2510000
2006-04-06 00:00:00+07:00,1302,1324,1302,1302,9390000
2006-04-07 00:00:00+07:00,1346,1361,1309,1346,20950000
2006-04-11 00:00:00+07:00,1350,1365,1346,1350,5730000
2006-04-12 00:00:00+07:00,1390,1390,1353,1390,7845000
2006-04-13 00:00:00+07:00,1394,1409,1376,1394,8660000
2006-04-17 00:00:00+07:00,1401,1405,1390,1401,2030000
2006-04-18 00:00:00+07:00,1486,1508,1412,1486,17505000
2006-04-19 00:00:00+07:00,1563,1611,1501,1563,16215000
2006-04-20 00:00:00+07:00,1545,1589,1530,1545,7025000
2006-04-21 00:00:00+07:00,1501,1523,1501,1501,11950000
2006-04-24 00:00:00+07:00,1501,1578,1508,1523,11890000
2006-04-25 00:00:00+07:00,1574,1574,1519,1574,10835000
2006-04-26 00:00:00+07:00,1562,1623,1562,1562,7750000
2006-04-27 00:00:00+07:00,1601,1616,1524,1601,4745000
2006-04-28 00:00:00+07:00,1524,1578,1524,1524,5435000
2006-05-01 00:00:00+07:00,1532,1547,1524,1532,970000
2006-05-02 00:00:00+07:00,1532,1547,1429,1444,10760000
2006-05-03 00:00:00+07:00,1502,1513,1463,1502,11345000
2006-05-04 00:00:00+07:00,1521,1551,1513,1521,5965000
2006-05-08 00:00:00+07:00,1509,1524,1502,1509,2260000
2006-05-09 00:00:00+07:00,1524,1601,1517,1524,13835000
2006-05-10 00:00:00+07:00,1700,1700,1540,1700,15710000
2006-05-11 00:00:00+07:00,1700,1753,1669,1700,23245000
2006-05-12 00:00:00+07:00,1700,1715,1696,1700,13040000
2006-05-15 00:00:00+07:00,1578,1684,1570,1578,5125000
2006-05-16 00:00:00+07:00,1486,1601,1380,1486,22430000
2006-05-17 00:00:00+07:00,1517,1566,1517,1517,10615000
2006-05-22 00:00:00+07:00,1372,1486,1334,1372,12100000
2006-05-23 00:00:00+07:00,1311,1372,1258,1311,12000000
2006-05-24 00:00:00+07:00,1368,1395,1334,1368,22745000
2006-05-30 00:00:00+07:00,1540,1574,1414,1540,11475000
2006-05-31 00:00:00+07:00,1505,1562,1494,1505,9915000
2006-06-01 00:00:00+07:00,1395,1524,1380,1395,8730000
2006-06-02 00:00:00+07:00,1391,1448,1349,1391,8650000
2006-06-05 00:00:00+07:00,1357,1418,1357,1357,2880000
2006-06-06 00:00:00+07:00,1338,1349,1307,1338,8295000
2006-06-07 00:00:00+07:00,1299,1330,1284,1299,5275000
2006-06-08 00:00:00+07:00,1265,1284,1250,1265,6170000
2006-06-09 00:00:00+07:00,1242,1284,1197,1242,15740000
2006-06-12 00:00:00+07:00,1284,1284,1242,1284,3190000
2006-06-13 00:00:00+07:00,1261,1269,1246,1261,6030000
2006-06-14 00:00:00+07:00,1238,1258,1197,1238,15960000
2006-06-15 00:00:00+07:00,1223,1280,1219,1223,9920000
2006-06-16 00:00:00+07:00,1288,1288,1258,1288,8320000
2006-06-19 00:00:00+07:00,1269,1280,1261,1269,8375000
2006-06-20 00:00:00+07:00,1258,1261,1238,1258,1490000
2006-06-21 00:00:00+07:00,1258,1288,1258,1258,3130000
2006-06-22 00:00:00+07:00,1330,1341,1280,1330,8345000
2006-06-23 00:00:00+07:00,1326,1334,1303,1326,2285000
2006-06-26 00:00:00+07:00,1410,1410,1311,1410,13725000
2006-06-27 00:00:00+07:00,1532,1547,1460,1532,47945000
2006-06-30 00:00:00+07:00,1490,1562,1460,1490,24895000
2006-07-03 00:00:00+07:00,1482,1513,1467,1482,1880000
2006-07-04 00:00:00+07:00,1502,1524,1482,1502,5865000
2006-07-05 00:00:00+07:00,1509,1528,1502,1509,8085000
2006-07-06 00:00:00+07:00,1585,1601,1509,1585,29505000
2006-07-07 00:00:00+07:00,1566,1631,1562,1566,3975000
2006-07-10 00:00:00+07:00,1616,1631,1551,1616,11810000
2006-07-11 00:00:00+07:00,1692,1738,1601,1692,28565000
2006-07-12 00:00:00+07:00,1753,1761,1707,1753,45575000
2006-07-13 00:00:00+07:00,1547,1875,1517,1547,71900000
2006-07-14 00:00:00+07:00,1623,1665,1509,1623,10440000
2006-07-18 00:00:00+07:00,1532,1631,1479,1532,44020000
2006-07-20 00:00:00+07:00,1540,1559,1509,1540,18630000
2006-07-21 00:00:00+07:00,1532,1543,1509,1532,6130000
2006-07-24 00:00:00+07:00,1524,1524,1517,1524,2845000
2006-07-25 00:00:00+07:00,1521,1559,1517,1521,6695000
2006-07-28 00:00:00+07:00,1517,1521,1505,1517,1745000
2006-07-31 00:00:00+07:00,1521,1524,1517,1521,3180000
2006-08-01 00:00:00+07:00,1555,1574,1521,1555,13115000
2006-08-02 00:00:00+07:00,1559,1574,1555,1559,4075000
2006-08-03 00:00:00+07:00,1536,1562,1532,1536,4240000
2006-08-04 00:00:00+07:00,1528,1532,1521,1528,1025000
2006-08-07 00:00:00+07:00,1524,1547,1524,1524,3745000
2006-08-08 00:00:00+07:00,1528,1555,1528,1528,2145000
2006-08-09 00:00:00+07:00,1555,1555,1528,1555,1630000
2006-08-10 00:00:00+07:00,1589,1612,1559,1589,12215000
2006-08-11 00:00:00+07:00,1623,1635,1612,1623,2575000
2006-08-14 00:00:00+07:00,1822,1860,1654,1822,15660000
2006-08-15 00:00:00+07:00,1784,1867,1749,1784,6150000
2006-08-16 00:00:00+07:00,1806,1845,1806,1806,9160000
2006-08-22 00:00:00+07:00,1745,1826,1730,1745,8700000
2006-08-23 00:00:00+07:00,1814,1822,1776,1814,3240000
2006-08-24 00:00:00+07:00,1791,1829,1784,1791,9990000
2006-08-25 00:00:00+07:00,1707,1784,1692,1707,7770000
2006-08-28 00:00:00+07:00,1677,1707,1662,1677,3510000
2006-08-29 00:00:00+07:00,1696,1707,1662,1696,4145000
2006-08-30 00:00:00+07:00,1662,1700,1662,1662,4410000
2006-08-31 00:00:00+07:00,1677,1677,1635,1677,11200000
2006-09-01 00:00:00+07:00,1650,1677,1650,1650,5805000
2006-09-04 00:00:00+07:00,1684,1692,1654,1684,1905000
2006-09-05 00:00:00+07:00,1684,1692,1662,1684,2220000
2006-09-06 00:00:00+07:00,1765,1768,1700,1765,23970000
2006-09-07 00:00:00+07:00,1780,1810,1730,1780,9210000
2006-09-08 00:00:00+07:00,1791,1791,1768,1791,11365000
2006-09-11 00:00:00+07:00,1723,1791,1723,1723,4940000
2006-09-12 00:00:00+07:00,1688,1700,1646,1688,13095000
2006-09-13 00:00:00+07:00,1726,1726,1696,1726,5485000
2006-09-14 00:00:00+07:00,1715,1726,1711,1715,2460000
2006-09-15 00:00:00+07:00,1688,1715,1677,1688,4350000
2006-09-19 00:00:00+07:00,1696,1704,1669,1696,3735000
2006-09-20 00:00:00+07:00,1700,1707,1650,1700,4235000
2006-09-21 00:00:00+07:00,1742,1745,1700,1742,5045000
2006-09-22 00:00:00+07:00,1768,1776,1738,1768,6175000
2006-09-25 00:00:00+07:00,1761,1761,1719,1761,2075000
2006-09-26 00:00:00+07:00,1757,1768,1753,1757,1025000
2006-09-27 00:00:00+07:00,1745,1765,1745,1745,1155000
2006-09-28 00:00:00+07:00,1742,1765,1742,1742,475000
2006-09-29 00:00:00+07:00,1753,1765,1742,1753,2865000
2006-10-02 00:00:00+07:00,1753,1761,1753,1753,2225000
2006-10-03 00:00:00+07:00,1826,1841,1753,1826,10010000
2006-10-04 00:00:00+07:00,1806,1864,1791,1806,5420000
2006-10-05 00:00:00+07:00,1772,1806,1768,1772,4510000
2006-10-06 00:00:00+07:00,1772,1791,1753,1772,7100000
2006-10-09 00:00:00+07:00,1787,1860,1787,1787,22485000
2006-10-10 00:00:00+07:00,1787,1810,1753,1787,6980000
2006-10-11 00:00:00+07:00,1765,1803,1765,1765,3190000
2006-10-12 00:00:00+07:00,1768,1814,1768,1768,14665000
2006-10-13 00:00:00+07:00,1799,1803,1768,1799,8635000
2006-10-16 00:00:00+07:00,1799,1814,1795,1799,4875000
2006-10-17 00:00:00+07:00,1879,1883,1806,1879,32345000
2006-10-18 00:00:00+07:00,1864,1871,1848,1864,5220000
2006-10-19 00:00:00+07:00,1852,1860,1852,1852,2755000
2006-10-20 00:00:00+07:00,1883,1898,1864,1883,10785000
2006-10-30 00:00:00+07:00,2020,2058,1944,2020,13480000
2006-10-31 00:00:00+07:00,2005,2043,1997,2005,9840000
